TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_QUAL,OBS_TYPE,IDBANK,FREQ,TITLE_FR,TITLE_EN,LAST_UPDATE,UNIT_MEASURE,UNIT_MULT,REF_AREA,DECIMALS,DATE,nomflow,cleFlow,INDICATEUR,NATURE,AGE,CORRECTION,FREQ_label_fr,FREQ_label_en,INDICATEUR_label_fr,INDICATEUR_label_en,NATURE_label_fr,NATURE_label_en,REF_AREA_label_fr,REF_AREA_label_en,AGE_label_fr,AGE_label_en,UNIT_MEASURE_label_fr,UNIT_MEASURE_label_en,CORRECTION_label_fr,CORRECTION_label_en,OBS_STATUS_label_fr,OBS_STATUS_label_en,OBS_TYPE_label_fr,OBS_TYPE_label_en,OBS_QUAL_label_fr,OBS_QUAL_label_en
2014,29.1,A,DEF,A,001742660,A,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,Poverty rate: Below 30 years old - Haute-Vienne,2018-06-19,POURCENT,0,D87,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D87.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,87 - Haute-Vienne,87 - Haute-Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,28.8,A,DEF,A,001742660,A,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,Poverty rate: Below 30 years old - Haute-Vienne,2018-06-19,POURCENT,0,D87,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D87.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,87 - Haute-Vienne,87 - Haute-Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,25.5,A,DEF,A,001742661,A,Taux de pauvreté : Moins de 30 ans - Vosges,Poverty rate: Below 30 years old - Vosges,2018-06-19,POURCENT,0,D88,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D88.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,88 - Vosges,88 - Vosges,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,27.0,A,DEF,A,001742661,A,Taux de pauvreté : Moins de 30 ans - Vosges,Poverty rate: Below 30 years old - Vosges,2018-06-19,POURCENT,0,D88,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D88.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,88 - Vosges,88 - Vosges,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,27.8,A,DEF,A,001742661,A,Taux de pauvreté : Moins de 30 ans - Vosges,Poverty rate: Below 30 years old - Vosges,2018-06-19,POURCENT,0,D88,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D88.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,88 - Vosges,88 - Vosges,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,27.4,A,DEF,A,001742661,A,Taux de pauvreté : Moins de 30 ans - Vosges,Poverty rate: Below 30 years old - Vosges,2018-06-19,POURCENT,0,D88,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D88.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,88 - Vosges,88 - Vosges,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,22.3,A,DEF,A,001742662,A,Taux de pauvreté : Moins de 30 ans - Yonne,Poverty rate: Below 30 years old - Yonne,2018-06-19,POURCENT,0,D89,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D89.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,89 - Yonne,89 - Yonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,22.7,A,DEF,A,001742662,A,Taux de pauvreté : Moins de 30 ans - Yonne,Poverty rate: Below 30 years old - Yonne,2018-06-19,POURCENT,0,D89,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D89.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,89 - Yonne,89 - Yonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,23.0,A,DEF,A,001742662,A,Taux de pauvreté : Moins de 30 ans - Yonne,Poverty rate: Below 30 years old - Yonne,2018-06-19,POURCENT,0,D89,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D89.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,89 - Yonne,89 - Yonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,22.2,A,DEF,A,001742662,A,Taux de pauvreté : Moins de 30 ans - Yonne,Poverty rate: Below 30 years old - Yonne,2018-06-19,POURCENT,0,D89,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D89.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,89 - Yonne,89 - Yonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,24.9,A,DEF,A,001742663,A,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,Poverty rate: Below 30 years old - Territoire de Belfort,2018-06-19,POURCENT,0,D90,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D90.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,90 - Territoire de Belfort,90 - Territoire de Belfort,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,25.1,A,DEF,A,001742663,A,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,Poverty rate: Below 30 years old - Territoire de Belfort,2018-06-19,POURCENT,0,D90,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D90.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,90 - Territoire de Belfort,90 - Territoire de Belfort,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,25.3,A,DEF,A,001742663,A,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,Poverty rate: Below 30 years old - Territoire de Belfort,2018-06-19,POURCENT,0,D90,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D90.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,90 - Territoire de Belfort,90 - Territoire de Belfort,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,24.9,A,DEF,A,001742663,A,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,Poverty rate: Below 30 years old - Territoire de Belfort,2018-06-19,POURCENT,0,D90,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D90.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,90 - Territoire de Belfort,90 - Territoire de Belfort,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,17.4,A,DEF,A,001742664,A,Taux de pauvreté : Moins de 30 ans - Essonne,Poverty rate: Below 30 years old - Essonne,2018-06-19,POURCENT,0,D91,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D91.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,91 - Essonne,91 - Essonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,18.4,A,DEF,A,001742664,A,Taux de pauvreté : Moins de 30 ans - Essonne,Poverty rate: Below 30 years old - Essonne,2018-06-19,POURCENT,0,D91,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D91.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,91 - Essonne,91 - Essonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,17.9,A,DEF,A,001742664,A,Taux de pauvreté : Moins de 30 ans - Essonne,Poverty rate: Below 30 years old - Essonne,2018-06-19,POURCENT,0,D91,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D91.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,91 - Essonne,91 - Essonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,18.6,A,DEF,A,001742664,A,Taux de pauvreté : Moins de 30 ans - Essonne,Poverty rate: Below 30 years old - Essonne,2018-06-19,POURCENT,0,D91,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D91.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,91 - Essonne,91 - Essonne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,15.2,A,DEF,A,001742665,A,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,Poverty rate: Below 30 years old - Hauts-de-Seine,2018-06-19,POURCENT,0,D92,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D92.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,92 - Hauts-de-Seine,92 - Hauts-de-Seine,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,15.8,A,DEF,A,001742665,A,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,Poverty rate: Below 30 years old - Hauts-de-Seine,2018-06-19,POURCENT,0,D92,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D92.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,92 - Hauts-de-Seine,92 - Hauts-de-Seine,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,15.7,A,DEF,A,001742665,A,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,Poverty rate: Below 30 years old - Hauts-de-Seine,2018-06-19,POURCENT,0,D92,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D92.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,92 - Hauts-de-Seine,92 - Hauts-de-Seine,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,15.9,A,DEF,A,001742665,A,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,Poverty rate: Below 30 years old - Hauts-de-Seine,2018-06-19,POURCENT,0,D92,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D92.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,92 - Hauts-de-Seine,92 - Hauts-de-Seine,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,29.3,A,DEF,A,001742666,A,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,Poverty rate: Below 30 years old - Seine-Saint-Denis,2018-06-19,POURCENT,0,D93,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D93.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,93 - Seine-Saint-Denis,93 - Seine-Saint-Denis,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,30.6,A,DEF,A,001742666,A,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,Poverty rate: Below 30 years old - Seine-Saint-Denis,2018-06-19,POURCENT,0,D93,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D93.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,93 - Seine-Saint-Denis,93 - Seine-Saint-Denis,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,31.1,A,DEF,A,001742666,A,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,Poverty rate: Below 30 years old - Seine-Saint-Denis,2018-06-19,POURCENT,0,D93,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D93.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,93 - Seine-Saint-Denis,93 - Seine-Saint-Denis,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,31.1,A,DEF,A,001742666,A,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,Poverty rate: Below 30 years old - Seine-Saint-Denis,2018-06-19,POURCENT,0,D93,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D93.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,93 - Seine-Saint-Denis,93 - Seine-Saint-Denis,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,20.5,A,DEF,A,001742667,A,Taux de pauvreté : Moins de 30 ans - Val-de-Marne,Poverty rate: Below 30 years old - Val-de-Marne,2018-06-19,POURCENT,0,D94,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D94.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,94 - Val-de-Marne,94 - Val-de-Marne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,21.7,A,DEF,A,001742667,A,Taux de pauvreté : Moins de 30 ans - Val-de-Marne,Poverty rate: Below 30 years old - Val-de-Marne,2018-06-19,POURCENT,0,D94,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D94.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,94 - Val-de-Marne,94 - Val-de-Marne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,21.8,A,DEF,A,001742667,A,Taux de pauvreté : Moins de 30 ans - Val-de-Marne,Poverty rate: Below 30 years old - Val-de-Marne,2018-06-19,POURCENT,0,D94,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D94.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,94 - Val-de-Marne,94 - Val-de-Marne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
