periode,indice_prix,description,zone,id_serie,annee,trimestre
2023-Q2,131.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2023,2
2023-Q3,132.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2023,3
2023-Q4,128.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2023,4
2024-Q1,126.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2024,1
2024-Q2,125.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2024,2
2024-Q3,127.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2024,3
2024-Q4,126.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2024,4
2025-Q1,126.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2025,1
2025-Q2,126.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2025,2
2025-Q3,128.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2025,3
2000-Q1,51.6,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2000,1
2000-Q2,52.6,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2000,2
2000-Q3,53.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2000,3
2000-Q4,53.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2000,4
2001-Q1,53.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2001,1
2001-Q2,54.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2001,2
2001-Q3,55.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2001,3
2001-Q4,56.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2001,4
2002-Q1,57.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2002,1
2002-Q2,59.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2002,2
2002-Q3,59.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2002,3
2002-Q4,60.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2002,4
2003-Q1,62.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2003,1
2003-Q2,63.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2003,2
2003-Q3,65.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2003,3
2003-Q4,65.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2003,4
2004-Q1,67.6,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2004,1
2004-Q2,69.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2004,2
2004-Q3,71.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2004,3
2004-Q4,72.6,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2004,4
2005-Q1,75.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2005,1
2005-Q2,78.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2005,2
2005-Q3,80.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2005,3
2005-Q4,82.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2005,4
2006-Q1,83.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2006,1
2006-Q2,85.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2006,2
2006-Q3,86.6,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2006,3
2006-Q4,87.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2006,4
2007-Q1,88.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2007,1
2007-Q2,90.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2007,2
2007-Q3,91.5,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2007,3
2007-Q4,91.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2007,4
2008-Q1,91.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2008,1
2008-Q2,93.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2008,2
2008-Q3,92.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2008,3
2008-Q4,90.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2008,4
2009-Q1,91.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2009,1
2009-Q2,92.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2009,2
2009-Q3,92.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2009,3
2009-Q4,92.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2009,4
2010-Q1,92.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2010,1
2010-Q2,94.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2010,2
2010-Q3,94.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2010,3
2010-Q4,96.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2010,4
2011-Q1,98.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2011,1
2011-Q2,99.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2011,2
2011-Q3,99.5,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2011,3
2011-Q4,100.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2011,4
2012-Q1,99.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2012,1
2012-Q2,99.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2012,2
2012-Q3,98.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2012,3
2012-Q4,98.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2012,4
2013-Q1,97.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2013,1
2013-Q2,97.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2013,2
2013-Q3,99.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2013,3
2013-Q4,98.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2013,4
2014-Q1,98.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2014,1
2014-Q2,97.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2014,2
2014-Q3,98.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2014,3
2014-Q4,98.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2014,4
2015-Q1,99.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2015,1
2015-Q2,100.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2015,2
2015-Q3,100.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2015,3
2015-Q4,100.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2015,4
2016-Q1,100.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2016,1
2016-Q2,101.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2016,2
2016-Q3,102.5,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2016,3
2016-Q4,103.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2016,4
2017-Q1,104.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2017,1
2017-Q2,105.5,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2017,2
2017-Q3,105.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2017,3
2017-Q4,107.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2017,4
2018-Q1,107.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2018,1
2018-Q2,108.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2018,2
2018-Q3,108.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2018,3
2018-Q4,110.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2018,4
2019-Q1,109.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2019,1
2019-Q2,112.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2019,2
2019-Q3,113.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2019,3
2019-Q4,114.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2019,4
2020-Q1,114.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2020,1
2020-Q2,114.6,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2020,2
2020-Q3,116.1,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2020,3
2020-Q4,117.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2020,4
2021-Q1,118.9,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2021,1
2021-Q2,120.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2021,2
2021-Q3,121.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2021,3
2021-Q4,123.5,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2021,4
2022-Q1,124.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2022,1
2022-Q2,128.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2022,2
2022-Q3,129.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2022,3
2022-Q4,130.2,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2022,4
2023-Q1,130.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2023,1
2023-Q2,130.4,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2023,2
2023-Q3,130.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2023,3
2023-Q4,129.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2023,4
2024-Q1,128.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2024,1
2024-Q2,128.5,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2024,2
2024-Q3,129.6,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2024,3
2024-Q4,129.7,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2024,4
2025-Q1,130.8,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2025,1
2025-Q2,131.3,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2025,2
2025-Q3,131.0,Indice des prix des logements neufs – Brut – Base 100 en moyenne annuelle 2015,FM,10001869,2025,3
1994-Q4,36.1,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1994,4
1995-Q1,35.8,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1995,1
1995-Q2,36.9,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1995,2
1995-Q3,36.8,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1995,3
1995-Q4,36.8,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1995,4
1996-Q1,38.0,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1996,1
1996-Q2,37.6,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1996,2
1996-Q3,38.1,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1996,3
1996-Q4,38.6,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1996,4
1997-Q1,35.7,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1997,1
1997-Q2,38.8,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1997,2
1997-Q3,36.9,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1997,3
1997-Q4,37.5,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1997,4
1998-Q1,35.9,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1998,1
1998-Q2,36.6,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1998,2
1998-Q3,37.8,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1998,3
1998-Q4,38.1,Indice des prix des logements anciens - Agglomération de Marseille - Appartements - Base 100 en moyenne annuelle 2015 - Série brute,A_13055,10567006,1998,4
