periode,nb_logements,description,zone,id_serie,annee
1991,21771.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1991
1992,22023.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1992
1993,22273.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1993
1994,22519.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1994
1995,22779.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1995
1996,23036.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1996
1997,23284.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1997
1998,23531.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1998
1999,23815.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1999
2000,24134.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2000
2001,24464.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2001
2002,24804.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2002
2003,25140.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2003
2004,25465.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2004
2005,25788.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2005
2006,26092.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2006
2007,26399.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2007
2008,26662.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2008
2009,26914.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2009
2010,27155.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2010
2011,27396.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2011
2012,27616.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2012
2013,27855.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2013
2014,28094.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2014
2015,28330.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2015
2016,28548.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2016
2017,28786.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2017
2018,29053.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2018
2019,29309.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2019
2020,29577.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2020
2021,29827.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2021
2022,30123.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2022
2023,30396.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2023
2024,30658.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2024
2025,30909.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,2025
1982,2260.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1982
1983,2331.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1983
1984,2404.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1984
1985,2476.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1985
1986,2546.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1986
1987,2617.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1987
1988,2683.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1988
1989,2746.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1989
1990,2809.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1990
1991,2823.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1991
1992,2834.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1992
1993,2844.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1993
1994,2854.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1994
1995,2864.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1995
1996,2874.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1996
1997,2882.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1997
1998,2890.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1998
1999,2898.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,1999
2000,2915.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2000
2001,2931.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2001
2002,2946.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2002
2003,2968.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2003
2004,2993.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2004
2005,3023.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2005
2006,3064.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2006
2007,3082.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2007
2008,3099.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2008
2009,3099.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2009
2010,3109.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2010
2011,3126.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2011
2012,3163.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2012
2013,3199.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2013
2014,3251.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2014
2015,3308.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2015
2016,3366.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2016
2017,3420.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2017
2018,3466.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2018
2019,3494.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2019
2020,3534.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2020
2021,3567.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2021
2022,3592.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2022
2023,3625.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2023
2024,3657.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2024
2025,3687.0,Estimation annuelle du parc de logements - Nombre de résidences secondaires et logements occasionnels - France métropolitaine,FM,1687213,2025
1982,1850.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1982
1983,1859.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1983
1984,1869.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1984
1985,1877.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1985
1986,1882.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1986
1987,1888.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1987
1988,1891.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1988
1989,1892.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1989
1990,1892.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1990
1991,1905.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1991
1992,1916.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1992
1993,1927.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1993
1994,1937.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1994
1995,1949.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1995
1996,1960.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1996
1997,1969.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1997
1998,1979.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1998
1999,1945.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,1999
2000,1939.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2000
2001,1934.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2001
2002,1910.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2002
2003,1886.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2003
2004,1881.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2004
2005,1875.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2005
2006,1903.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2006
2007,1968.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2007
2008,2058.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2008
2009,2161.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2009
2010,2257.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2010
2011,2338.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2011
2012,2433.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2012
2013,2521.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2013
2014,2597.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2014
2015,2668.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2015
2016,2732.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2016
2017,2775.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2017
2018,2793.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2018
2019,2834.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2019
2020,2847.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2020
2021,2853.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2021
2022,2845.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2022
2023,2848.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2023
2024,2849.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2024
2025,2849.0,Estimation annuelle du parc de logements - Nombre de logements vacants - France métropolitaine,FM,1687214,2025
1982,10550.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1982
1983,10762.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1983
1984,10981.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1984
1985,11190.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1985
1986,11389.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1986
1987,11587.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1987
1988,11738.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1988
1989,11877.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1989
1990,12006.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1990
1991,12162.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1991
1992,12306.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1992
1993,12442.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1993
1994,12570.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1994
1995,12707.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1995
1996,12854.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1996
1997,12998.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1997
1998,13150.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1998
1999,13329.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,1999
2000,13516.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2000
2001,13714.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2001
2002,13921.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2002
2003,14128.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2003
2004,14330.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2004
2005,14527.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2005
2006,14711.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2006
2007,14908.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2007
2008,15083.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2008
2009,15241.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2009
2010,15382.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2010
2011,15524.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2011
2012,15646.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2012
2013,15775.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2013
2014,15903.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2014
2015,16029.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2015
2016,16136.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2016
2017,16240.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2017
2018,16353.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2018
2019,16490.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2019
2020,16588.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2020
2021,16675.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2021
2022,16797.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2022
2023,16898.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2023
2024,16992.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2024
2025,17079.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement individuel - France métropolitaine,FM,1687215,2025
1982,8992.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1982
1983,9051.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1983
1984,9114.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1984
1985,9170.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1985
1986,9220.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1986
1987,9269.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1987
1988,9348.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1988
1989,9415.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1989
1990,9490.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1990
1991,9609.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1991
1992,9716.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1992
1993,9832.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1993
1994,9949.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1994
1995,10072.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1995
1996,10182.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1996
1997,10286.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1997
1998,10382.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1998
1999,10486.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,1999
2000,10618.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2000
2001,10751.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2001
2002,10883.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2002
2003,11012.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2003
2004,11135.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2004
2005,11262.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2005
2006,11381.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2006
2007,11491.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Logement collectif - France métropolitaine,FM,1687216,2007
