periode,taux_pauvrete,description,zone,id_serie,annee
2013,30.6,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,D93,1742666,2013
2014,31.1,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,D93,1742666,2014
2015,31.1,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,D93,1742666,2015
2012,20.5,Taux de pauvreté : Moins de 30 ans - Val-de-Marne,D94,1742667,2012
2013,21.7,Taux de pauvreté : Moins de 30 ans - Val-de-Marne,D94,1742667,2013
2014,21.8,Taux de pauvreté : Moins de 30 ans - Val-de-Marne,D94,1742667,2014
2015,22.3,Taux de pauvreté : Moins de 30 ans - Val-de-Marne,D94,1742667,2015
2012,19.4,Taux de pauvreté : Moins de 30 ans - Val-d'Oise,D95,1742668,2012
2013,20.6,Taux de pauvreté : Moins de 30 ans - Val-d'Oise,D95,1742668,2013
2014,20.2,Taux de pauvreté : Moins de 30 ans - Val-d'Oise,D95,1742668,2014
2015,21.0,Taux de pauvreté : Moins de 30 ans - Val-d'Oise,D95,1742668,2015
2012,15.0,Taux de pauvreté : 75 ans ou plus - Corrèze,D19,1742674,2012
2013,13.2,Taux de pauvreté : 75 ans ou plus - Corrèze,D19,1742674,2013
2014,12.4,Taux de pauvreté : 75 ans ou plus - Corrèze,D19,1742674,2014
2015,11.0,Taux de pauvreté : 75 ans ou plus - Corrèze,D19,1742674,2015
2012,18.4,Taux de pauvreté : 75 ans ou plus - Corse-du-Sud,D2A,1742675,2012
2013,16.7,Taux de pauvreté : 75 ans ou plus - Corse-du-Sud,D2A,1742675,2013
2014,16.2,Taux de pauvreté : 75 ans ou plus - Corse-du-Sud,D2A,1742675,2014
2015,15.6,Taux de pauvreté : 75 ans ou plus - Corse-du-Sud,D2A,1742675,2015
2012,23.8,Taux de pauvreté : 75 ans ou plus - Haute-Corse,D2B,1742676,2012
2013,20.8,Taux de pauvreté : 75 ans ou plus - Haute-Corse,D2B,1742676,2013
2014,20.3,Taux de pauvreté : 75 ans ou plus - Haute-Corse,D2B,1742676,2014
2015,19.2,Taux de pauvreté : 75 ans ou plus - Haute-Corse,D2B,1742676,2015
2012,8.1,Taux de pauvreté : 75 ans ou plus - Côte-d'Or,D21,1742677,2012
2013,6.8,Taux de pauvreté : 75 ans ou plus - Côte-d'Or,D21,1742677,2013
2014,6.8,Taux de pauvreté : 75 ans ou plus - Côte-d'Or,D21,1742677,2014
2015,6.5,Taux de pauvreté : 75 ans ou plus - Côte-d'Or,D21,1742677,2015
2012,11.4,Taux de pauvreté : 75 ans ou plus - Côtes-d'Armor,D22,1742678,2012
2013,9.7,Taux de pauvreté : 75 ans ou plus - Côtes-d'Armor,D22,1742678,2013
2014,9.1,Taux de pauvreté : 75 ans ou plus - Côtes-d'Armor,D22,1742678,2014
2015,9.0,Taux de pauvreté : 75 ans ou plus - Côtes-d'Armor,D22,1742678,2015
2012,20.6,Taux de pauvreté : 75 ans ou plus - Creuse,D23,1742679,2012
2013,18.8,Taux de pauvreté : 75 ans ou plus - Creuse,D23,1742679,2013
2014,18.1,Taux de pauvreté : 75 ans ou plus - Creuse,D23,1742679,2014
2015,16.5,Taux de pauvreté : 75 ans ou plus - Creuse,D23,1742679,2015
2012,15.0,Taux de pauvreté : 75 ans ou plus - Dordogne,D24,1742680,2012
2013,13.4,Taux de pauvreté : 75 ans ou plus - Dordogne,D24,1742680,2013
2014,12.7,Taux de pauvreté : 75 ans ou plus - Dordogne,D24,1742680,2014
2015,12.1,Taux de pauvreté : 75 ans ou plus - Dordogne,D24,1742680,2015
2012,9.2,Taux de pauvreté : 75 ans ou plus - Doubs,D25,1742681,2012
2013,7.4,Taux de pauvreté : 75 ans ou plus - Doubs,D25,1742681,2013
2014,7.0,Taux de pauvreté : 75 ans ou plus - Doubs,D25,1742681,2014
2015,6.7,Taux de pauvreté : 75 ans ou plus - Doubs,D25,1742681,2015
2012,9.9,Taux de pauvreté : 75 ans ou plus - Drôme,D26,1742682,2012
2013,9.1,Taux de pauvreté : 75 ans ou plus - Drôme,D26,1742682,2013
2014,8.7,Taux de pauvreté : 75 ans ou plus - Drôme,D26,1742682,2014
2015,8.0,Taux de pauvreté : 75 ans ou plus - Drôme,D26,1742682,2015
2012,7.7,Taux de pauvreté : 75 ans ou plus - Eure,D27,1742683,2012
2013,6.2,Taux de pauvreté : 75 ans ou plus - Eure,D27,1742683,2013
2014,6.2,Taux de pauvreté : 75 ans ou plus - Eure,D27,1742683,2014
2015,6.4,Taux de pauvreté : 75 ans ou plus - Eure,D27,1742683,2015
2012,6.5,Taux de pauvreté : 75 ans ou plus - Eure-et-Loir,D28,1742684,2012
2013,5.8,Taux de pauvreté : 75 ans ou plus - Eure-et-Loir,D28,1742684,2013
2014,5.8,Taux de pauvreté : 75 ans ou plus - Eure-et-Loir,D28,1742684,2014
2015,5.8,Taux de pauvreté : 75 ans ou plus - Eure-et-Loir,D28,1742684,2015
2012,9.5,Taux de pauvreté : 75 ans ou plus - Finistère,D29,1742685,2012
2013,7.9,Taux de pauvreté : 75 ans ou plus - Finistère,D29,1742685,2013
2014,7.5,Taux de pauvreté : 75 ans ou plus - Finistère,D29,1742685,2014
2015,7.6,Taux de pauvreté : 75 ans ou plus - Finistère,D29,1742685,2015
2012,13.2,Taux de pauvreté : 75 ans ou plus - Gard,D30,1742686,2012
2013,12.1,Taux de pauvreté : 75 ans ou plus - Gard,D30,1742686,2013
2014,11.6,Taux de pauvreté : 75 ans ou plus - Gard,D30,1742686,2014
2015,11.2,Taux de pauvreté : 75 ans ou plus - Gard,D30,1742686,2015
2012,10.3,Taux de pauvreté : 75 ans ou plus - Haute-Garonne,D31,1742687,2012
2013,9.1,Taux de pauvreté : 75 ans ou plus - Haute-Garonne,D31,1742687,2013
2014,8.8,Taux de pauvreté : 75 ans ou plus - Haute-Garonne,D31,1742687,2014
2015,8.9,Taux de pauvreté : 75 ans ou plus - Haute-Garonne,D31,1742687,2015
2012,17.5,Taux de pauvreté : 75 ans ou plus - Gers,D32,1742688,2012
2013,16.0,Taux de pauvreté : 75 ans ou plus - Gers,D32,1742688,2013
2014,14.9,Taux de pauvreté : 75 ans ou plus - Gers,D32,1742688,2014
2015,14.5,Taux de pauvreté : 75 ans ou plus - Gers,D32,1742688,2015
2012,9.7,Taux de pauvreté : 75 ans ou plus - Gironde,D33,1742689,2012
2013,8.3,Taux de pauvreté : 75 ans ou plus - Gironde,D33,1742689,2013
2014,8.0,Taux de pauvreté : 75 ans ou plus - Gironde,D33,1742689,2014
2015,8.0,Taux de pauvreté : 75 ans ou plus - Gironde,D33,1742689,2015
2012,13.4,Taux de pauvreté : 75 ans ou plus - Hérault,D34,1742690,2012
2013,12.3,Taux de pauvreté : 75 ans ou plus - Hérault,D34,1742690,2013
2014,11.9,Taux de pauvreté : 75 ans ou plus - Hérault,D34,1742690,2014
2015,11.2,Taux de pauvreté : 75 ans ou plus - Hérault,D34,1742690,2015
2012,8.6,Taux de pauvreté : 75 ans ou plus - Ille-et-Vilaine,D35,1742691,2012
2013,7.1,Taux de pauvreté : 75 ans ou plus - Ille-et-Vilaine,D35,1742691,2013
2014,6.8,Taux de pauvreté : 75 ans ou plus - Ille-et-Vilaine,D35,1742691,2014
2015,6.7,Taux de pauvreté : 75 ans ou plus - Ille-et-Vilaine,D35,1742691,2015
2012,11.8,Taux de pauvreté : 75 ans ou plus - Indre,D36,1742692,2012
2013,10.3,Taux de pauvreté : 75 ans ou plus - Indre,D36,1742692,2013
2014,9.8,Taux de pauvreté : 75 ans ou plus - Indre,D36,1742692,2014
2015,9.5,Taux de pauvreté : 75 ans ou plus - Indre,D36,1742692,2015
2012,8.6,Taux de pauvreté : 75 ans ou plus - Indre-et-Loire,D37,1742693,2012
2013,7.1,Taux de pauvreté : 75 ans ou plus - Indre-et-Loire,D37,1742693,2013
2014,7.1,Taux de pauvreté : 75 ans ou plus - Indre-et-Loire,D37,1742693,2014
2015,6.7,Taux de pauvreté : 75 ans ou plus - Indre-et-Loire,D37,1742693,2015
2012,8.5,Taux de pauvreté : 75 ans ou plus - Isère,D38,1742694,2012
2013,7.2,Taux de pauvreté : 75 ans ou plus - Isère,D38,1742694,2013
2014,7.1,Taux de pauvreté : 75 ans ou plus - Isère,D38,1742694,2014
2015,6.7,Taux de pauvreté : 75 ans ou plus - Isère,D38,1742694,2015
2012,11.0,Taux de pauvreté : 75 ans ou plus - Jura,D39,1742695,2012
2013,9.1,Taux de pauvreté : 75 ans ou plus - Jura,D39,1742695,2013
2014,8.8,Taux de pauvreté : 75 ans ou plus - Jura,D39,1742695,2014
2015,8.3,Taux de pauvreté : 75 ans ou plus - Jura,D39,1742695,2015
2012,10.7,Taux de pauvreté : 75 ans ou plus - Landes,D40,1742696,2012
2013,9.6,Taux de pauvreté : 75 ans ou plus - Landes,D40,1742696,2013
2014,9.1,Taux de pauvreté : 75 ans ou plus - Landes,D40,1742696,2014
2015,8.5,Taux de pauvreté : 75 ans ou plus - Landes,D40,1742696,2015
2012,7.7,Taux de pauvreté : 75 ans ou plus - Loir-et-Cher,D41,1742697,2012
2013,6.7,Taux de pauvreté : 75 ans ou plus - Loir-et-Cher,D41,1742697,2013
2014,6.4,Taux de pauvreté : 75 ans ou plus - Loir-et-Cher,D41,1742697,2014
2015,6.3,Taux de pauvreté : 75 ans ou plus - Loir-et-Cher,D41,1742697,2015
2012,9.0,Taux de pauvreté : 75 ans ou plus - Loire,D42,1742698,2012
2013,7.9,Taux de pauvreté : 75 ans ou plus - Loire,D42,1742698,2013
2014,7.8,Taux de pauvreté : 75 ans ou plus - Loire,D42,1742698,2014
2015,7.5,Taux de pauvreté : 75 ans ou plus - Loire,D42,1742698,2015
2012,13.6,Taux de pauvreté : 75 ans ou plus - Haute-Loire,D43,1742699,2012
2013,11.4,Taux de pauvreté : 75 ans ou plus - Haute-Loire,D43,1742699,2013
2014,10.9,Taux de pauvreté : 75 ans ou plus - Haute-Loire,D43,1742699,2014
2015,10.5,Taux de pauvreté : 75 ans ou plus - Haute-Loire,D43,1742699,2015
2012,8.4,Taux de pauvreté : 75 ans ou plus - Loire-Atlantique,D44,1742700,2012
2013,6.9,Taux de pauvreté : 75 ans ou plus - Loire-Atlantique,D44,1742700,2013
2014,6.5,Taux de pauvreté : 75 ans ou plus - Loire-Atlantique,D44,1742700,2014
2015,6.3,Taux de pauvreté : 75 ans ou plus - Loire-Atlantique,D44,1742700,2015
2012,6.5,Taux de pauvreté : 75 ans ou plus - Loiret,D45,1742701,2012
2013,5.7,Taux de pauvreté : 75 ans ou plus - Loiret,D45,1742701,2013
2014,5.6,Taux de pauvreté : 75 ans ou plus - Loiret,D45,1742701,2014
2015,5.6,Taux de pauvreté : 75 ans ou plus - Loiret,D45,1742701,2015
2012,14.5,Taux de pauvreté : 75 ans ou plus - Lot,D46,1742702,2012
2013,12.9,Taux de pauvreté : 75 ans ou plus - Lot,D46,1742702,2013
2014,11.8,Taux de pauvreté : 75 ans ou plus - Lot,D46,1742702,2014
2015,11.6,Taux de pauvreté : 75 ans ou plus - Lot,D46,1742702,2015
2012,15.2,Taux de pauvreté : 75 ans ou plus - Lot-et-Garonne,D47,1742703,2012
2013,13.3,Taux de pauvreté : 75 ans ou plus - Lot-et-Garonne,D47,1742703,2013
2014,12.9,Taux de pauvreté : 75 ans ou plus - Lot-et-Garonne,D47,1742703,2014
2015,12.2,Taux de pauvreté : 75 ans ou plus - Lot-et-Garonne,D47,1742703,2015
2012,20.0,Taux de pauvreté : 75 ans ou plus - Lozère,D48,1742704,2012
2013,16.9,Taux de pauvreté : 75 ans ou plus - Lozère,D48,1742704,2013
2014,15.2,Taux de pauvreté : 75 ans ou plus - Lozère,D48,1742704,2014
2015,14.5,Taux de pauvreté : 75 ans ou plus - Lozère,D48,1742704,2015
2012,8.4,Taux de pauvreté : 75 ans ou plus - Maine-et-Loire,D49,1742705,2012
2013,7.0,Taux de pauvreté : 75 ans ou plus - Maine-et-Loire,D49,1742705,2013
2014,6.7,Taux de pauvreté : 75 ans ou plus - Maine-et-Loire,D49,1742705,2014
2015,6.2,Taux de pauvreté : 75 ans ou plus - Maine-et-Loire,D49,1742705,2015
2012,11.3,Taux de pauvreté : 75 ans ou plus - Manche,D50,1742706,2012
2013,9.4,Taux de pauvreté : 75 ans ou plus - Manche,D50,1742706,2013
2014,9.0,Taux de pauvreté : 75 ans ou plus - Manche,D50,1742706,2014
2015,8.4,Taux de pauvreté : 75 ans ou plus - Manche,D50,1742706,2015
2012,7.7,Taux de pauvreté : 75 ans ou plus - Marne,D51,1742707,2012
2013,6.5,Taux de pauvreté : 75 ans ou plus - Marne,D51,1742707,2013
2014,6.6,Taux de pauvreté : 75 ans ou plus - Marne,D51,1742707,2014
2015,6.3,Taux de pauvreté : 75 ans ou plus - Marne,D51,1742707,2015
2012,12.6,Taux de pauvreté : 75 ans ou plus - Haute-Marne,D52,1742708,2012
2013,10.3,Taux de pauvreté : 75 ans ou plus - Haute-Marne,D52,1742708,2013
2014,10.1,Taux de pauvreté : 75 ans ou plus - Haute-Marne,D52,1742708,2014
2015,9.1,Taux de pauvreté : 75 ans ou plus - Haute-Marne,D52,1742708,2015
2012,10.3,Taux de pauvreté : 75 ans ou plus - Mayenne,D53,1742709,2012
2013,8.8,Taux de pauvreté : 75 ans ou plus - Mayenne,D53,1742709,2013
2014,8.3,Taux de pauvreté : 75 ans ou plus - Mayenne,D53,1742709,2014
2015,7.6,Taux de pauvreté : 75 ans ou plus - Mayenne,D53,1742709,2015
2012,8.1,Taux de pauvreté : 75 ans ou plus - Meurthe-et-Moselle,D54,1742710,2012
2013,7.0,Taux de pauvreté : 75 ans ou plus - Meurthe-et-Moselle,D54,1742710,2013
2014,6.7,Taux de pauvreté : 75 ans ou plus - Meurthe-et-Moselle,D54,1742710,2014
2015,7.1,Taux de pauvreté : 75 ans ou plus - Meurthe-et-Moselle,D54,1742710,2015
2012,7.8,Taux de pauvreté : 75 ans ou plus - Rhône,D69,1742761,2012
2013,6.7,Taux de pauvreté : 75 ans ou plus - Rhône,D69,1742761,2013
2014,6.8,Taux de pauvreté : 75 ans ou plus - Rhône,D69,1742761,2014
2015,6.7,Taux de pauvreté : 75 ans ou plus - Rhône,D69,1742761,2015
2012,11.8,Taux de pauvreté : 75 ans ou plus - Haute-Saône,D70,1742762,2012
2013,9.7,Taux de pauvreté : 75 ans ou plus - Haute-Saône,D70,1742762,2013
2014,9.7,Taux de pauvreté : 75 ans ou plus - Haute-Saône,D70,1742762,2014
2015,9.0,Taux de pauvreté : 75 ans ou plus - Haute-Saône,D70,1742762,2015
2012,9.6,Taux de pauvreté : 50 à 59 ans - Côte-d'Or,D21,1742195,2012
2013,10.1,Taux de pauvreté : 50 à 59 ans - Côte-d'Or,D21,1742195,2013
2014,10.6,Taux de pauvreté : 50 à 59 ans - Côte-d'Or,D21,1742195,2014
2015,11.3,Taux de pauvreté : 50 à 59 ans - Côte-d'Or,D21,1742195,2015
2012,23.1,Taux de pauvreté : Moins de 30 ans - Var,D83,1742656,2012
2013,23.8,Taux de pauvreté : Moins de 30 ans - Var,D83,1742656,2013
2014,23.1,Taux de pauvreté : Moins de 30 ans - Var,D83,1742656,2014
2015,23.6,Taux de pauvreté : Moins de 30 ans - Var,D83,1742656,2015
2012,26.5,Taux de pauvreté : Moins de 30 ans - Vaucluse,D84,1742657,2012
2013,28.0,Taux de pauvreté : Moins de 30 ans - Vaucluse,D84,1742657,2013
2014,28.5,Taux de pauvreté : Moins de 30 ans - Vaucluse,D84,1742657,2014
2015,27.6,Taux de pauvreté : Moins de 30 ans - Vaucluse,D84,1742657,2015
2012,10.8,Taux de pauvreté : 30 à 39 ans - Ain,D01,1742737,2012
2013,11.7,Taux de pauvreté : 30 à 39 ans - Ain,D01,1742737,2013
2014,12.1,Taux de pauvreté : 30 à 39 ans - Ain,D01,1742737,2014
2015,12.3,Taux de pauvreté : 30 à 39 ans - Ain,D01,1742737,2015
2012,21.9,Taux de pauvreté : 30 à 39 ans - Aisne,D02,1742738,2012
2013,23.3,Taux de pauvreté : 30 à 39 ans - Aisne,D02,1742738,2013
2014,23.5,Taux de pauvreté : 30 à 39 ans - Aisne,D02,1742738,2014
2015,24.1,Taux de pauvreté : 30 à 39 ans - Aisne,D02,1742738,2015
2012,17.7,Taux de pauvreté : 30 à 39 ans - Allier,D03,1742739,2012
2013,18.6,Taux de pauvreté : 30 à 39 ans - Allier,D03,1742739,2013
2014,19.5,Taux de pauvreté : 30 à 39 ans - Allier,D03,1742739,2014
2015,19.8,Taux de pauvreté : 30 à 39 ans - Allier,D03,1742739,2015
2012,19.3,Taux de pauvreté : 30 à 39 ans - Alpes-de-Haute-Provence,D04,1742740,2012
2013,19.7,Taux de pauvreté : 30 à 39 ans - Alpes-de-Haute-Provence,D04,1742740,2013
2014,21.7,Taux de pauvreté : 30 à 39 ans - Alpes-de-Haute-Provence,D04,1742740,2014
2015,21.7,Taux de pauvreté : 30 à 39 ans - Alpes-de-Haute-Provence,D04,1742740,2015
2012,15.6,Taux de pauvreté : 30 à 39 ans - Hautes-Alpes,D05,1742741,2012
2013,16.5,Taux de pauvreté : 30 à 39 ans - Hautes-Alpes,D05,1742741,2013
2014,17.5,Taux de pauvreté : 30 à 39 ans - Hautes-Alpes,D05,1742741,2014
2015,16.9,Taux de pauvreté : 30 à 39 ans - Hautes-Alpes,D05,1742741,2015
2012,16.7,Taux de pauvreté : 30 à 39 ans - Alpes-Maritimes,D06,1742742,2012
2013,17.9,Taux de pauvreté : 30 à 39 ans - Alpes-Maritimes,D06,1742742,2013
2014,18.8,Taux de pauvreté : 30 à 39 ans - Alpes-Maritimes,D06,1742742,2014
2015,18.6,Taux de pauvreté : 30 à 39 ans - Alpes-Maritimes,D06,1742742,2015
2012,17.4,Taux de pauvreté : 30 à 39 ans - Ardèche,D07,1742743,2012
2013,17.9,Taux de pauvreté : 30 à 39 ans - Ardèche,D07,1742743,2013
2014,18.5,Taux de pauvreté : 30 à 39 ans - Ardèche,D07,1742743,2014
2015,18.3,Taux de pauvreté : 30 à 39 ans - Ardèche,D07,1742743,2015
2012,22.2,Taux de pauvreté : 30 à 39 ans - Ardennes,D08,1742744,2012
2013,23.4,Taux de pauvreté : 30 à 39 ans - Ardennes,D08,1742744,2013
2014,23.6,Taux de pauvreté : 30 à 39 ans - Ardennes,D08,1742744,2014
2015,24.4,Taux de pauvreté : 30 à 39 ans - Ardennes,D08,1742744,2015
2012,20.5,Taux de pauvreté : 30 à 39 ans - Ariège,D09,1742745,2012
2013,22.7,Taux de pauvreté : 30 à 39 ans - Ariège,D09,1742745,2013
2014,23.7,Taux de pauvreté : 30 à 39 ans - Ariège,D09,1742745,2014
2015,23.5,Taux de pauvreté : 30 à 39 ans - Ariège,D09,1742745,2015
2012,18.3,Taux de pauvreté : 30 à 39 ans - Aube,D10,1742746,2012
2013,19.3,Taux de pauvreté : 30 à 39 ans - Aube,D10,1742746,2013
2014,19.5,Taux de pauvreté : 30 à 39 ans - Aube,D10,1742746,2014
2015,20.3,Taux de pauvreté : 30 à 39 ans - Aube,D10,1742746,2015
2012,11.5,Taux de pauvreté : 75 ans ou plus - Meuse,D55,1742747,2012
2013,9.1,Taux de pauvreté : 75 ans ou plus - Meuse,D55,1742747,2013
2014,8.9,Taux de pauvreté : 75 ans ou plus - Meuse,D55,1742747,2014
2015,9.3,Taux de pauvreté : 75 ans ou plus - Meuse,D55,1742747,2015
2012,10.3,Taux de pauvreté : 75 ans ou plus - Morbihan,D56,1742748,2012
2013,8.2,Taux de pauvreté : 75 ans ou plus - Morbihan,D56,1742748,2013
2014,7.8,Taux de pauvreté : 75 ans ou plus - Morbihan,D56,1742748,2014
2015,7.6,Taux de pauvreté : 75 ans ou plus - Morbihan,D56,1742748,2015
2012,9.3,Taux de pauvreté : 75 ans ou plus - Moselle,D57,1742749,2012
2013,7.9,Taux de pauvreté : 75 ans ou plus - Moselle,D57,1742749,2013
2014,7.8,Taux de pauvreté : 75 ans ou plus - Moselle,D57,1742749,2014
2015,8.2,Taux de pauvreté : 75 ans ou plus - Moselle,D57,1742749,2015
2012,9.8,Taux de pauvreté : 75 ans ou plus - Nièvre,D58,1742750,2012
2013,8.6,Taux de pauvreté : 75 ans ou plus - Nièvre,D58,1742750,2013
2014,8.2,Taux de pauvreté : 75 ans ou plus - Nièvre,D58,1742750,2014
2015,7.9,Taux de pauvreté : 75 ans ou plus - Nièvre,D58,1742750,2015
2012,10.8,Taux de pauvreté : 75 ans ou plus - Nord,D59,1742751,2012
2013,9.1,Taux de pauvreté : 75 ans ou plus - Nord,D59,1742751,2013
2014,9.0,Taux de pauvreté : 75 ans ou plus - Nord,D59,1742751,2014
2015,9.2,Taux de pauvreté : 75 ans ou plus - Nord,D59,1742751,2015
2012,8.5,Taux de pauvreté : 75 ans ou plus - Oise,D60,1742752,2012
2013,6.9,Taux de pauvreté : 75 ans ou plus - Oise,D60,1742752,2013
2014,6.8,Taux de pauvreté : 75 ans ou plus - Oise,D60,1742752,2014
2015,6.8,Taux de pauvreté : 75 ans ou plus - Oise,D60,1742752,2015
2012,10.0,Taux de pauvreté : 75 ans ou plus - Orne,D61,1742753,2012
2013,8.3,Taux de pauvreté : 75 ans ou plus - Orne,D61,1742753,2013
2014,8.0,Taux de pauvreté : 75 ans ou plus - Orne,D61,1742753,2014
2015,7.6,Taux de pauvreté : 75 ans ou plus - Orne,D61,1742753,2015
2012,12.4,Taux de pauvreté : 75 ans ou plus - Pas-de-Calais,D62,1742754,2012
2013,10.6,Taux de pauvreté : 75 ans ou plus - Pas-de-Calais,D62,1742754,2013
2014,10.2,Taux de pauvreté : 75 ans ou plus - Pas-de-Calais,D62,1742754,2014
2015,10.2,Taux de pauvreté : 75 ans ou plus - Pas-de-Calais,D62,1742754,2015
2012,10.0,Taux de pauvreté : 75 ans ou plus - Puy-de-Dôme,D63,1742755,2012
2013,8.8,Taux de pauvreté : 75 ans ou plus - Puy-de-Dôme,D63,1742755,2013
2014,8.4,Taux de pauvreté : 75 ans ou plus - Puy-de-Dôme,D63,1742755,2014
2015,8.3,Taux de pauvreté : 75 ans ou plus - Puy-de-Dôme,D63,1742755,2015
2012,10.3,Taux de pauvreté : 75 ans ou plus - Pyrénées-Atlantiques,D64,1742756,2012
2013,8.8,Taux de pauvreté : 75 ans ou plus - Pyrénées-Atlantiques,D64,1742756,2013
2014,8.6,Taux de pauvreté : 75 ans ou plus - Pyrénées-Atlantiques,D64,1742756,2014
2015,8.4,Taux de pauvreté : 75 ans ou plus - Pyrénées-Atlantiques,D64,1742756,2015
2012,12.6,Taux de pauvreté : 75 ans ou plus - Hautes-Pyrénées,D65,1742757,2012
2013,11.2,Taux de pauvreté : 75 ans ou plus - Hautes-Pyrénées,D65,1742757,2013
2014,10.9,Taux de pauvreté : 75 ans ou plus - Hautes-Pyrénées,D65,1742757,2014
2015,11.1,Taux de pauvreté : 75 ans ou plus - Hautes-Pyrénées,D65,1742757,2015
2012,15.8,Taux de pauvreté : 75 ans ou plus - Pyrénées-Orientales,D66,1742758,2012
2013,14.3,Taux de pauvreté : 75 ans ou plus - Pyrénées-Orientales,D66,1742758,2013
2014,13.9,Taux de pauvreté : 75 ans ou plus - Pyrénées-Orientales,D66,1742758,2014
2015,12.8,Taux de pauvreté : 75 ans ou plus - Pyrénées-Orientales,D66,1742758,2015
2012,6.5,Taux de pauvreté : 75 ans ou plus - Bas-Rhin,D67,1742759,2012
2013,5.5,Taux de pauvreté : 75 ans ou plus - Bas-Rhin,D67,1742759,2013
2014,5.5,Taux de pauvreté : 75 ans ou plus - Bas-Rhin,D67,1742759,2014
2015,6.2,Taux de pauvreté : 75 ans ou plus - Bas-Rhin,D67,1742759,2015
2012,6.1,Taux de pauvreté : 75 ans ou plus - Haut-Rhin,D68,1742760,2012
2013,5.3,Taux de pauvreté : 75 ans ou plus - Haut-Rhin,D68,1742760,2013
2014,5.2,Taux de pauvreté : 75 ans ou plus - Haut-Rhin,D68,1742760,2014
2015,5.7,Taux de pauvreté : 75 ans ou plus - Haut-Rhin,D68,1742760,2015
2012,10.3,Taux de pauvreté : 75 ans ou plus - Saône-et-Loire,D71,1742763,2012
2013,8.7,Taux de pauvreté : 75 ans ou plus - Saône-et-Loire,D71,1742763,2013
2014,8.4,Taux de pauvreté : 75 ans ou plus - Saône-et-Loire,D71,1742763,2014
2015,8.2,Taux de pauvreté : 75 ans ou plus - Saône-et-Loire,D71,1742763,2015
2012,7.9,Taux de pauvreté : 75 ans ou plus - Sarthe,D72,1742764,2012
2013,6.3,Taux de pauvreté : 75 ans ou plus - Sarthe,D72,1742764,2013
2014,6.1,Taux de pauvreté : 75 ans ou plus - Sarthe,D72,1742764,2014
